Neighborhood,Street,Address_1,Address_2,Intersection,From,To,Permittee,Contractor,Permit,Project_Category,Construction_Notes,Work_Schedule,ExpirationDate,Estimated_Completion_Date,Roadway_Plates_In_Use,Sidewalk_Plates_In_Use,Status,Trench_Length,Contact_Number,NumberOfWorkZones,District
EAST BOSTON,BROOKS,23,,,,,National Grid,National Grid,EXCA-1177759,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May  7 2021 12:00AM,May  7 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
HYDE PARK,RIVER ST,,,,,,Comcast,P V Barone,EXCA-576372,MAINTENANCE,BAD PATCH REPAIR,Days & Weekends,May 31 2021 12:00AM,May 20 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,857-919-9355,1,08
HYDE PARK,HYDE PARK AV,,,,,,RCN Beaco Com Llc,P V Barone,EXCA-1183188,MAINTENANCE,BAD PATCH REPAIR,Days & Weekends,May 25 2021 12:00AM,May 25 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,08
HYDE PARK,CENTRAL AV,,,,WEST ST,ARLINGTON ST,Eversource Gas,Eversource Gas,EXCA-1179453,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,1,,PLATES PINNED & BERMED,654,844-886 9349,1,08
HYDE PARK,HARVARD AV,,,WEBSTER ST,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1047188,MAINTENANCE,CASTING REPAIRS,Days & Weekends,May 10 2021 12:00AM,May 10 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,08
HYDE PARK,OSCEOLA ST ,45,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1176468,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,Apr 27 2021 12:00AM,Apr 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989 7000,1,08
HYDE PARK,WINBOROUGH ST,15,,,,,"Sean Farrell Excavation, Inc.","Sean Farrell Excavation, I",EMER-00000,EMERGENCY,SEWER REPAIR,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-293 7660,1,08
HYDE PARK,WASHINGTON ST,,,,,,Eversource Gas,Feeney Brothers Excavation,EXCA-1171291,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,3,,PLATES PINNED & BERMED,440,844-886-9649,1,08
HYDE PARK,DANA AV,,,,FOLSOM ST,HYDE PARK AV,Eversource Gas,Feeney Brothers Excavation,EXCA-1171758,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,2,,PLATES PINNED & BERMED,400,844-886-9649,1,08
HYDE PARK,SCRIBNER RD,,,,,,Eversource Gas,RJ Deveraux,EXCA-1179090,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 11 2021 12:00AM,May  1 2021 12:00AM,1,,PLATES PINNED & BERMED,225,844-886-9649,1,08
HYDE PARK,OSCEOLA ST,,,,,,Eversource Gas,RJ Devereaux,EXCA-1175078,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 29 2021 12:00AM,Jul  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1000,844-886-9649,1,08
HYDE PARK,WESTMINSTER ST,,,,GREENWOOD SQ,HYDE PARK AV,Eversource Gas,RJ Devereaux,EXCA-1133431,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 13 2021 12:00AM,May  1 2021 12:00AM,1,,PLATES PINNED & BERMED,400,844-886-9649,1,08
HYDE PARK,RADCLIFFE RD,,,,RUSKINDALE RD,GREENFIELD RD,Eversource Gas,Feeney Brothers Excavation,EXCA-1165684,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 29 2021 12:00AM,May  1 2021 12:00AM,4,,PLATES PINNED & BERMED,440,844-886-9649,1,08
HYDE PARK,KOVEY CT,,,,,,Eversource Gas,Feeney Brothers Excavation,EXCA-1171295,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 13 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,220,844-886-9649,1,08
HYDE PARK,RALDNE RD,,,,SILVIA CT,STONEHILL RD,Eversource Gas,Feeney Brothers Excavation,EXCA-1157957,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May  1 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,860,844-886-9649,1,08
HYDE PARK,RIVER ST,,,,VALLARO RD,ERNEST AV,Eversource Gas,RJ Devereaux,EXCA-1011748,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1053,844-886-9649,1,08
HYDE PARK,BELNEL RD,13,,,,,Eversource Gas,RJ Devereaux,EXCA1165689,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1720,844-886-9649,1,08
HYDE PARK,SOLARIS RD,,,,,,Eversource Gas,Eversource Gas,EXCA-1171759,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,1,,PLATES PINNED & BERMED,640,844-886-9649,1,08
HYDE PARK,MAPLE ST,0,,,OAK ST,RIVER ST,Eversource Gas,Feeney Brothers Excavation,EXCA-1177580,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May  6 2021 12:00AM,May  6 2021 12:00AM,11,,PLATES PINNED & BERMED,280,844-886-9649,1,08
HYDE PARK,RUFFING ST,18,,,,,Eversource Gas,R.J Devereaux Corp,EXCA-1152514,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 25 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,520,844-886-9649,1,08
HYDE PARK,RUSKINDALE RD,0,,,,,Eversource Gas,R.J Devereaux Corp,EXCA-1152647,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 25 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1080,844-886-9649,1,08
HYDE PARK,PLEASANT ST,,,,,,Eversource Gas,Feeney Brothers Excavation,EXCA-1152482,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 25 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1040,844-886-9649,1,08
HYDE PARK,SILVIA CT,2,,,,,Eversource Gas,Feeney Brothers Excavation,EXCA-1152646,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 25 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,448,844-886-9649,1,08
HYDE PARK,RESERVATION RD,181,,,,,Eversource Gas,R.J Devereaux Corp,EXCA-1152645,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 25 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,900,844-886-9649,1,08
SOUTH DORCHESTER/MATTAPAN,WOODROW AV,,,NEW ENGLAND AV,,,National Grid,Feeney Brothers Excavation,EXCA-1130153,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 27 2021 12:00AM,May  1 2021 12:00AM,7,2,PLATES PINNED & BERMED,100,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,ATHERSTONE ST,11,,,,,National Grid,National Grid,EMER-1064645,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jan 25 2021 12:00AM,Jan 25 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,RIVER ST,490,,,,,J. Derenzo Company,J. Derenzo Company,EXCA-1150375,SERVICE,SEWER SERVICE TIE IN FOR MATTAPAN STATION,Days & Weekends,Apr 17 2021 12:00AM,May  1 2021 12:00AM,,1,HARD WORK ZONE,,508-509-4879,1,07
SOUTH DORCHESTER/MATTAPAN,FRANKLIN HILL AV,1,5,,,,National Grid,Feeney Brothers Excavation,EXCA-838161,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 15 2021 12:00AM,May  1 2021 12:00AM,5,,PLATES PINNED & BERMED,190,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,ROCKINGHAM AV,,,,,,National Grid,Feeney Brothers Excavation,EXCA-1088587,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 15 2021 12:00AM,May 15 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,95,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,GREENOCK ST,,,,,,National Grid,Feeney Brothers Excavation,EXCA-838163,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 15 2021 12:00AM,May  1 2021 12:00AM,2,,PLATES PINNED & BERMED,735,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,TALBOT AV,1,100,,,,National Grid,Feeney Brothers Excavation,EXCA-1094021,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN/HARD WORK ZONE,Days & Weekends,May 16 2021 12:00AM,May 16 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1500,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINS HY,548,,,,,National Grid,Feeney Brothers Excavation,EXCA-1045923,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 15 2021 12:00AM,May  1 2021 12:00AM,11,,PLATES PINNED & BERMED,1182,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,TENEAN ST,33,100,,,,National Grid,Feeney Brothers Excavation,EXCA-838148,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Nights,May  9 2021 12:00AM,May  9 2021 12:00AM,5,,PLATES PINNED & BERMED,1750,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINS HY,633,800,,,,National Grid,Feeney Brothers Excavation,EXCA-1088596,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 15 2021 12:00AM,May 15 2021 12:00AM,6,,PLATES PINNED & BERMED,1142,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,596,692,,,,National Grid,Feeney Brothers Excavation,EXCA-1111470,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 27 2021 12:00AM,Apr 30 2021 12:00AM,4,,PLATES PINNED & BERMED,850,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,MORTON ST,,,,,,National Grid,Feeney Brothers Excavation,EXCA-1094904,NEW CONDUIT AND/OR MAIN,MISC MAIN WORK/DCR RDWY,Days & Weekends,May  7 2021 12:00AM,May  7 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,HARVARD ST,387,436,,,,National Grid,Feeney Brothers Excavation,EXCA-1079412,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Mar 24 2021 12:00AM,May  1 2021 12:00AM,,1,PLATES BERMED,1025,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1333,,,,,National Grid,National Grid,EMER-1155195,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 13 2021 12:00AM,May  1 2021 12:00AM,2,,PLATES PINNED & BERMED,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1333,,,,,National Grid,National Grid,EMER-1155188,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 10 2021 12:00AM,May  1 2021 12:00AM,2,,PLATES PINNED & BERMED,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,HARVARD ST,360,,,,,National Grid,National Grid,EMER-1158699,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1184,,,,,National Grid,Feeney Brothers Excavation,EXCA-1053841,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 20 2021 12:00AM,May  1 2021 12:00AM,4,,PLATES PINNED & BERMED,359,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,MINOT ST,251,,,,,Ronan 953 LLC,Ronan 953 LLC,EXCA-1165679,SERVICE,INSTALLATION OF WATER SEWER FIREPIPE AND DRAIN,Days & Weekends,Apr  9 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-510-1013,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,782,,,,,National Grid,National Grid,EXCA-1180921,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 15 2021 12:00AM,May 15 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,STRATTON ST,57,,,,,Extenet,Commonwealth Con,EXCA-1181668,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,May 21 2021 12:00AM,May 21 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,978-758-0208,1,07
SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,64,,,,,National Grid,Feeney Brothers Excavation,EXCA-1176190,CAPITAL,INSTALLATION OF ENTRY PIT FOR MAIN WORK,Days & Weekends,May  2 2021 12:00AM,May  2 2021 12:00AM,4,3,PLATES PINNED & BERMED,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINGS HY,,,REXFORD ST,,,Eversource Electric,Eversource Electric,EMER-1178962,EMERGENCY,CABLE REPAIR,Days & Weekends,Apr 22 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,07
SOUTH DORCHESTER/MATTAPAN,NORWOOD ST,20,,,,,National Grid,National Grid,EXCA-1175749,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,Apr 27 2021 12:00AM,Apr 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,BALLOU AV,142,,,,,National Grid,National Grid,EXCA-1180324,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 14 2021 12:00AM,May 14 2021 12:00AM,2,,PLATES PINNED & BERMED,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,RIVER ST,11,,,,,Eversource Electric,Eversource Electric,EMER-0000000,EMERGENCY,CABLE REPAIR,Days & Weekends,Apr 28 2021 12:00AM,Apr 28 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592 2000,1,07
SOUTH DORCHESTER/MATTAPAN,NORWOOD ST,20,,,,,National Grid,National Grid,EXCA-1175749,MAINTENANCE,ABANDON GAS SERVICE,Days & Weekends,Apr 27 2021 12:00AM,Apr 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,WRENTHAM ST,32,,,,,BWSC,Metro Equipment Corp,EMER-1176483,EMERGENCY,,Days & Weekends,May  4 2021 12:00AM,May  4 2021 12:00AM,,,,,617-989-7000,1,07
SOUTH DORCHESTER /MATTAPAN,FAIRLAWN AV,8,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1176482,EMERGENCY,Water Main Repair (Leak on Main),Days & Weekends,May  4 2021 12:00AM,May  4 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,07
SOUTH DORCHESTER/MATTAPAN,RIVER ST,500,,,,,National Grid,National Grid,EMER-1160734,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER  MATTAPAN,CALLENDAR ST,,,,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1047196,MAINTENANCE,CASTING REPAIR,Days & Weekends,Nov 30 2021 12:00AM,May 15 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,07
SOUTH DORCHESTER/MATTAPAN,BALLOU ST,,,,,,National Grid,National Grid,EXCA-1180324,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 14 2021 12:00AM,May 14 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,BALLOU AV,28,152,,WOODROW AV,MOUNTAIN AV,National Grid,Feeney Brothers,EXCA-1190104,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jun  5 2021 12:00AM,Jun  5 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1470,877-304-1203,1,07
SOUTH DORCHESTER /MATTAPAN,ARMADINE,1,,,,,Hercules C & G Drain,Hercules C & G Drain,EMER-000000,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,May  5 2021 12:00AM,May  5 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,1-781-251 97,1,07
SOUTH DORCHESTER  MATTAPAN,RUGBY RD,,,CUMMIN HY,,,Eversource Electric,Eversource Electric,EMER-0000000,EMERGENCY,Cable Failure,Days & Weekends,May  5 2021 12:00AM,May  5 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,1-800-592 20,1,07
SOUTH DORCHESTER  MATTAPAN,NORFOLK ST ,586,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1184886,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,May  7 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
WEST ROXBURY/ROSLINDALE,CENTRE ST,1833,,,,,Verizon,Danella,EXCA-1185200,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,May 28 2021 12:00AM,May 28 2021 12:00AM,,,NO START,315,800-446-8946,1,06
WEST ROXBURY ROSLINDALE,VERMONT ST,270,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1176067,EMERGENCY,Leak Repair (Leak on Street),Days & Weekends,May  5 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
WEST ROXBURY/ROSLINDALE,FLETCHER ST,45,,,,,Boston Public Works,Maverick Construction,EXCA-1190169,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jun  8 2021 12:00AM,Jun  8 2021 12:00AM,,,SAWCUTS,,,1,06
WEST ROXBURY ROSLINDALE,WASHINGTON ST,,,BRADEEN,,,Eversource Electric,Eversource Electric,EMER-0000000,EMERGENCY,Emergency - Cable Repair,Days & Weekends,May  7 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592 2000,1,06
WEST ROXBURY/ROSLINDALE,CENTRE ST,1761,,,,,Comcast,PV Barone,EXCA-576403,MAINTENANCE,PATCH REPAIR,Days & Weekends,May 14 2021 12:00AM,May 14 2021 12:00AM,,,SAWCUTS,,,1,06
WEST ROXBURY/ROSLINDALE,VERMONT ST,270,,,,,Boston Water & Sewer Commission,C Naughton Corp,EMER-1176067,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,May  5 2021 12:00AM,May  5 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,06
WEST ROXBURY ROSLINDALE,AVERTON ST,,,,,,National Grid,Feeney Brothers,EXCA-1189740,SERIVCE,INSTALLATION OF GAS SERVICE,Days & Weekends,Jun  4 2021 12:00AM,Jul  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,06
WEST ROXBURY/ROSLINDALE,HYDE PARK AV,456,,,,,National Grid,National Grid,EXCA-933489,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 11 2021 12:00AM,May 11 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,06
WEST ROXBURY/ROSLINDALE,CHESBROUGH RD,36,,,,,National Grid,National Grid,EXCA-1187368,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 27 2021 12:00AM,May 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,06
WEST ROXBURY/ROSLINDALE,PERHAM ST,184,,,,,Boston Water & Sewer Commission,BWSC,EMER-1160735,EMERGENCY,Leak on Service,Days & Weekends,May  3 2021 12:00AM,May  3 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
WEST ROXBURY/ROSLINDALE,WASHINGTON ST ,5232,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1176476,EMERGENCY,Dig in Doubt (Leak on Service),Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989 7000,1,06
WEST ROXBURY/ROSLINDALE,WENHAM ST ,89,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1176474,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989 7000,1,06
WEST ROXBURY ROSLINDALE,WASHINGTON ST,5016,,,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1047188,Reconstruction,CASTING REPAIR,Days & Weekends,May 11 2021 12:00AM,May 11 2021 12:00AM,,,NO START,,617-989 7000,1,06
WEST ROXBURY/ROSLINDALE,BELGRADE AV,426,,,,,Verizon,Danella Co,EXCA-1184523,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,Apr 28 2021 12:00AM,Apr 28 2021 12:00AM,,,DOWN IN BINDER,110,800-446-8946,1,06
WEST ROXBURY/ROSLINDALE,MANTHORNE RD.,169,,,,,Verizon,Danella Co,EXCA-1184557,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,30,800-446-8946,1,06
WEST ROXBURY/ROSLINDALE,BEECH ST,255,,,,,Eversource Electric,Riley Brothers,EMER-1179348,EMERGENCY,SERVICE OUTAGE,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,06
WEST ROXBURY ROSLINDALE,FLETCHER ST,45,,,,,Eversource Electric,Riley Brothers,EMER-1179349,EMERGENCY,CABLE REPLACEMENT,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,06
WEST ROXBURY ROSLINDALE,STRATFORD ST,50,,,,,Eversource Electric,Riley Brothers,EMER-1179347,EMERGENCY,CABLE REPAIR,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,06
WEST ROXBURY/ROSLINDALE,KIRK ST,20,,,,,Boston Public Works,Maverick Construction,EXCA-1180652,SERVICE,INSTALLATION OF 2 STREET LIGHT BASE,Days & Weekends,May 15 2021 12:00AM,May 15 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,857-472-0105,1,06
WEST ROXBURY/ROSLINDALE,WASHINGTON ST,5098,,,,,Eversource Electric,Eversource Electric,EMER-0000000,EMERGENCY,CABLE REPAIR,Days & Weekends,Apr 28 2021 12:00AM,Apr 28 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592 2000,1,06
WEST ROXBURY/ROSLINDALE,BAKER ST,235,,GARDNER ST,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1176469,EMERGENCY,Leak Repair (Leak on Street),Days & Weekends,Apr 27 2021 12:00AM,Apr 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989 7000,1,06
WEST ROXBURY ROSLINDALE,WALK HILL ST,16,,,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1047188,MAINTENANCE,CASTING REPAIR,Days & Weekends,May 11 2021 12:00AM,May 11 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989 7000,1,06
WEST ROXBURY ROSLINDALE,SOUTH ST,968,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-117640,EMERGENCY,LEAK ON SERVICE,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989 7000,1,06
WEST ROXBURY/ROSLINDALE,WASHINGTON ST,4981,5098,,,,Eversource Electric,Eversource Electric,EMER-1178953,EMERGENCY,CABLE REPAIR,Days & Weekends,Apr 17 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,06
WEST ROXBURY/ROSLINDALE,LISZT ST,23,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1176057,EMERGENCY,LEAK REPAIR,Days & Weekends,Apr 19 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
WEST ROXBURY/ROSLINDALE,LITTLEDALE ST,9,,,,,National Grid,National Grid,EXCA-1180371,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 14 2021 12:00AM,May 14 2021 12:00AM,,,NO START,,877-304-1203,1,06
WEST ROXBURY/ROSLINDALE,WHITFORD ST,11,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1157269,EMERGENCY,Service Repair (Leak on Service),Days & Weekends,Apr 21 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,06
WEST ROXBURY/ROSLINDALE,WASHINGTON ST,,,WILLET ST,,,Eversource Electric,Eversource Electric,EMER-1178954,EMERGENCY,EMERGENCY CABLE REPLACEMENT,Days & Weekends,Apr 19 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,06
WEST ROXBURY ROSLINDALE,CREST ST,,,OPP 26,,,Boston Public Works,Maverick Construction,EXCA-1180647,SERVICE,INSTALLATION OF HANDHOLE & SDWK BASE,Days & Weekends,May 15 2021 12:00AM,May 15 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,857-472-0105,1,06
